"areaCode","age","population"
"E06000050","15_19",17718
"E06000050","20_24",18793
"E06000050","25_29",19648
"E06000050","30_34",19378
"E06000050","35_39",20166
"E06000050","40_44",19529
"E06000050","45_49",22868
"E06000050","50_54",25221
"E06000050","55_59",25609
"E06000050","60+",96824
"E06000050","60_64",21909
"E06000050","65_69",19558
"E06000050","70_74",20588
"E06000050","75_79",14620
"E06000050","80_84",10475
"E06000050","85_89",6083
"E06000050","90+",3591
"E06000051","00_04",14788
"E06000051","00_59",221588
"E06000051","05_09",16657
"E06000051","10_14",18113
"E06000051","15_19",16708
"E06000051","20_24",14409
"E06000051","25_29",16700
"E06000051","30_34",18049
"E06000051","35_39",17607
"E06000051","40_44",17359
"E06000051","45_49",20968
"E06000051","50_54",24571
"E06000051","55_59",25659
"E06000051","60+",103827
"E06000051","60_64",22611
"E06000051","65_69",21224
"E06000051","70_74",21875
"E06000051","75_79",16293
"E06000051","80_84",11161
"E06000051","85_89",6671
"E06000051","90+",3992
"E06000052","00_04",26983
"E06000052","00_59",389241
"E06000052","05_09",32474
"E06000052","10_14",31991
"E06000052","15_19",29839
"E06000052","20_24",29801
"E06000052","25_29",27823
"E06000052","30_34",28250
"E06000052","35_39",30178
"E06000052","40_44",30581
"E06000052","45_49",36228
"E06000052","50_54",41753
"E06000052","55_59",43340
"E06000052","60+",186284
"E06000052","60_64",40827
"E06000052","65_69",38105
"E06000052","70_74",41333
"E06000052","75_79",28775
"E06000052","80_84",18915
"E06000052","85_89",11571
"E06000052","90+",6758
"E06000054","00_04",26196
"E06000054","00_59",361774
"E06000054","05_09",30780
"E06000054","10_14",31750
"E06000054","15_19",27168
"E06000054","20_24",22080
"E06000054","25_29",25752
"E06000054","30_34",28988
"E06000054","35_39",29772
