"areaCode","age","population"
"E06000046","5_9",7172
"E06000046","10_14",7208
"E06000046","15_19",6793
"E06000046","20_24",6454
"E06000046","25_29",6740
"E06000046","30_34",6712
"E06000046","35_39",6744
"E06000046","40_44",6850
"E06000046","45_49",8857
"E06000046","50_54",10699
"E06000046","55_59",10702
"E06000046","60_64",10434
"E06000046","65_69",10467
"E06000046","70_74",11342
"E06000046","75_79",7804
"E06000046","80_84",5229
"E06000046","85_89",3273
"E06000046","90+",2071
"E06000047","0_4",26347
"E06000047","5_9",30272
"E06000047","10_14",29209
"E06000047","15_19",28945
"E06000047","20_24",36488
"E06000047","25_29",33827
"E06000047","30_34",30332
"E06000047","35_39",30824
"E06000047","40_44",27739
"E06000047","45_49",33833
"E06000047","50_54",39185
"E06000047","55_59",38226
"E06000047","60_64",34415
"E06000047","65_69",31138
"E06000047","70_74",30760
"E06000047","75_79",20805
"E06000047","80_84",15074
"E06000047","85_89",8434
"E06000047","90+",4241
"E06000049","0_4",20307
"E06000049","5_9",22080
"E06000049","10_14",22415
"E06000049","15_19",19366
"E06000049","20_24",16826
"E06000049","25_29",19463
"E06000049","30_34",20094
"E06000049","35_39",21967
"E06000049","40_44",22275
"E06000049","45_49",27550
"E06000049","50_54",30245
"E06000049","55_59",29022
"E06000049","60_64",24262
"E06000049","65_69",22815
"E06000049","70_74",24076
"E06000049","75_79",16942
"E06000049","80_84",12343
"E06000049","85_89",7485
"E06000049","90+",4619
"E06000050","0_4",18284
"E06000050","5_9",20213
"E06000050","10_14",19511
"E06000050","15_19",17664
"E06000050","20_24",19225
"E06000050","25_29",19778
"E06000050","30_34",19439
"E06000050","35_39",20059
"E06000050","40_44",19433
"E06000050","45_49",23437
"E06000050","50_54",25529
"E06000050","55_59",25108
"E06000050","60_64",21199
"E06000050","65_69",19884
"E06000050","70_74",20295
"E06000050","75_79",14084
"E06000050","80_84",10324
"E06000050","85_89",5986
"E06000050","90+",3619
"E06000051","0_4",14857
"E06000051","5_9",16913
"E06000051","10_14",17737
"E06000051","15_19",16752
"E06000051","20_24",14679
"E06000051","25_29",16885
"E06000051","30_34",17671
"E06000051","35_39",17432
"E06000051","40_44",17109
"E06000051","45_49",21514
"E06000051","50_54",24924
"E06000051","55_59",24947
"E06000051","60_64",21954
"E06000051","65_69",21144
"E06000051","70_74",21662
"E06000051","75_79",15631
"E06000051","80_84",10872
"E06000051","85_89",6580
"E06000051","90+",3873
"E06000052","0_4",27775
"E06000052","5_9",32271
"E06000052","10_14",31288
"E06000052","15_19",29537
"E06000052","20_24",30119
"E06000052","25_29",27874
"E06000052","30_34",28240
"E06000052","35_39",30294
"E06000052","40_44",30129
"E06000052","45_49",37329
"E06000052","50_54",41847
"E06000052","55_59",42380
"E06000052","60_64",39673
"E06000052","65_69",38589
"E06000052","70_74",40857
"E06000052","75_79",27029
"E06000052","80_84",18678
"E06000052","85_89",11278
"E06000052","90+",6615
"E06000054","0_4",26778
"E06000054","5_9",31232
"E06000054","10_14",30715
"E06000054","15_19",27010
"E06000054","20_24",21780
"E06000054","25_29",25731
"E06000054","30_34",28815
"E06000054","35_39",29503
"E06000054","40_44",28840
"E06000054","45_49",35717
"E06000054","50_54",38233
"E06000054","55_59",36386
"E06000054","60_64",30837
"E06000054","65_69",28657
"E06000054","70_74",29414
"E06000054","75_79",20640
"E06000054","80_84",14788
"E06000054","85_89",9343
"E06000054","90+",5605
"E06000055","0_4",11460
"E06000055","5_9",11877
"E06000055","10_14",11079
"E06000055","15_19",9878
"E06000055","20_24",8635
"E06000055","25_29",9807
"E06000055","30_34",10769
"E06000055","35_39",11998
"E06000055","40_44",11375
"E06000055","45_49",11882
"E06000055","50_54",12513
"E06000055","55_59",11416
"E06000055","60_64",9678
"E06000055","65_69",8324
"E06000055","70_74",8187
"E06000055","75_79",5573
"E06000055","80_84",4326
"E06000055","85_89",2808
"E06000055","90+",1707
"E06000056","0_4",17971
"E06000056","5_9",18891
"E06000056","10_14",17429
"E06000056","15_19",14699
"E06000056","20_24",13353
"E06000056","25_29",16976
"E06000056","30_34",20567
"E06000056","35_39",20151
"E06000056","40_44",18991
"E06000056","45_49",20140
"E06000056","50_54",21417
"E06000056","55_59",19921
"E06000056","60_64",16369
"E06000056","65_69",14376
"E06000056","70_74",14352
"E06000056","75_79",9741
"E06000056","80_84",7043
"E06000056","85_89",4084
"E06000056","90+",2177
"E06000057","0_4",14765
"E06000057","5_9",16890
"E06000057","10_14",17344
"E06000057","15_19",15912
"E06000057","20_24",14453
"E06000057","25_29",16326
"E06000057","30_34",17062
"E06000057","35_39",17581
"E06000057","40_44",17349
"E06000057","45_49",20685
"E06000057","50_54",24157
"E06000057","55_59",25914
"E06000057","60_64",24213
"E06000057","65_69",22503
"E06000057","70_74",22328
"E06000057","75_79",14721
"E06000057","80_84",10531
"E06000057","85_89",6176
"E06000057","90+",3524
"E06000058","0_4",20275
"E06000058","5_9",22609
"E06000058","10_14",21251
"E06000058","15_19",21019
"E06000058","20_24",26699
"E06000058","25_29",22766
"E06000058","30_34",23944
"E06000058","35_39",26235
"E06000058","40_44",23781
"E06000058","45_49",25610
"E06000058","50_54",27073
"E06000058","55_59",25696
"E06000058","60_64",22076
"E06000058","65_69",21251
"E06000058","70_74",22680
"E06000058","75_79",15741
"E06000058","80_84",12563
"E06000058","85_89",8658
"E06000058","90+",5404
"E06000059","0_4",15875
"E06000059","5_9",19362
"E06000059","10_14",20484
"E06000059","15_19",19044
"E06000059","20_24",14808
"E06000059","25_29",16750
"E06000059","30_34",17497
"E06000059","35_39",17712
"E06000059","40_44",18763
"E06000059","45_49",23610
"E06000059","50_54",27547
"E06000059","55_59",29290
"E06000059","60_64",27717
"E06000059","65_69",27839
"E06000059","70_74",30079
"E06000059","75_79",21177
"E06000059","80_84",15304
"E06000059","85_89",9714
"E06000059","90+",5936
"E07000004","0_4",12537
"E07000004","5_9",14129
"E07000004","10_14",13254
"E07000004","15_19",11298
"E07000004","20_24",9905
"E07000004","25_29",11857
"E07000004","30_34",13671
"E07000004","35_39",14144
"E07000004","40_44",13765
"E07000004","45_49",14487
"E07000004","50_54",15016
"E07000004","55_59",13673
"E07000004","60_64",11129
"E07000004","65_69",9591
"E07000004","70_74",9383
"E07000004","75_79",6390
"E07000004","80_84",4612
"E07000004","85_89",2658
"E07000004","90+",1720
"E07000005","0_4",5026
"E07000005","5_9",6522
"E07000005","10_14",7003
"E07000005","15_19",5453
"E07000005","20_24",3733
"E07000005","25_29",3988
"E07000005","30_34",3842
"E07000005","35_39",5254
"E07000005","40_44",6664
"E07000005","45_49",7327
"E07000005","50_54",7402
"E07000005","55_59",7177
